EC-Lab ASCII FILE
Nb header lines : 53                          

Cyclic Voltammetry

Run on channel : 1 (SN 24330)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = -2,50 V, max = 2,50 V
Safety Limits :
	Do not start on E overload
Acquisition started on : 10/05/2017 17:30:03
Saved on :
	File : Co_13_200mV_01_CV_02_CV_02_CV_C01.mpr
	Directory : C:\Users\usuario\Documents\EC-Lab\Data\Federico\R=H\CO2 reduction\CV_scan rates CO2_0,4 mM_GC 1mm_5-10-2017\
	Host : 192.168.1.115
Device : VSP (SN 1463)
Address : USB
EC-Lab for windows v11.10 (software)
Internet server v11.10 (firmware)
Command interpretor v11.10 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
Equivalent Weight : 0,000 g/eq.
Density : 0,000 g/cm3
Ei (V)              0,100               
vs.                 Ref                 
dE/dt               200,000             
dE/dt unit          mV/s                
E1 (V)              -1,870              
vs.                 Ref                 
Step percent        50                  
N                   20                  
E range min (V)     -2,500              
E range max (V)     2,500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           5                   
E2 (V)              1,000               
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              0,000               
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	Rcmp/Ohm	P/W
2	0	0	1	0	3,7195	-0,189276248	-0,1899883	-0,00013657195229530213	1	-1,3368448E-007	338,910034	2,59470738E-008
2	0	0	1	0	3,7315	-0,191676244	-0,192417398	-0,00013681651092299787	1	-1,35291984E-007	338,910034	2,63258766E-008
2	0	0	1	0	3,7435	-0,194076255	-0,194761813	-0,00013721937843931184	1	-1,36905186E-007	338,910034	2,6725095E-008
2	0	0	1	0	3,7555	-0,196476266	-0,197199002	-0,00013813651505762678	1	-1,38523546E-007	338,910034	2,72403824E-008
2	0	0	1	0	3,7675	-0,198876262	-0,199597716	-0,00013769092503093357	1	-1,40147733E-007	338,910034	2,74827947E-008
2	0	0	1	0	3,7795	-0,201276243	-0,202013478	-0,0001384430538833891	1	-1,41774507E-007	338,910034	2,79673635E-008
2	0	0	1	0	3,7915	-0,203676268	-0,204397634	-0,00013877138792794085	1	-1,4340587E-007	338,910034	2,83645427E-008
2	0	0	1	0	3,8035	-0,206076264	-0,206779703	-0,00013883336377299762	1	-1,45041113E-007	338,910034	2,87079214E-008
2	0	0	1	0	3,8155	-0,20847626	-0,209176943	-0,00013974378471534382	1	-1,46683547E-007	338,910034	2,92311775E-008
2	0	0	1	0	3,8275	-0,210876256	-0,211605787	-0,00013952936550148238	1	-1,48331267E-007	338,910034	2,95252214E-008
2	0	0	1	0	3,8395	-0,213276267	-0,213986918	-0,00014027563612005554	1	-1,49981346E-007	338,910034	3,00171514E-008
2	0	0	1	0	3,8515	-0,215676263	-0,216344848	-0,00014092307451033058	1	-1,51634751E-007	338,910034	3,04879819E-008
2	0	0	1	0	3,8635	-0,218076274	-0,218742833	-0,00014052272691961925	1	-1,53293499E-007	338,910034	3,07383381E-008
2	0	0	1	0	3,8755	-0,22047627	-0,221168682	-0,00014161740411685003	1	-1,54959579E-007	338,910034	3,13213349E-008
2	0	0	1	0	3,8875	-0,222876266	-0,223556831	-0,00014175477270970157	1	-1,56628161E-007	338,910034	3,16902486E-008
2	0	0	1	0	3,8995	-0,225276276	-0,225985184	-0,00014227573160895602	1	-1,58302058E-007	338,910034	3,2152208E-008
2	0	0	1	0	3,9115	-0,227676272	-0,228397667	-0,00014239466254226856	1	-1,59977176E-007	338,910034	3,25226104E-008
2	0	0	1	0	3,9235	-0,230076268	-0,230792403	-0,00014296839455247429	1	-1,61658534E-007	338,910034	3,29960201E-008
2	0	0	1	0	3,9355	-0,232476279	-0,233195096	-0,00014398016656370568	1	-1,63345078E-007	338,910034	3,35754677E-008
